client_id,client_name,dob,primary_adviser_id,onboarded_date,client_segment
C00001,Poppy Thompson,2004-12-31,A059,2021-04-01,Retail
C00002,George Green,1987-10-25,A002,2022-12-23,Retail
C00003,Isla Harris,1963-02-07,A002,2024-01-24,Retail
C00004,Amelia King,1990-05-26,A054,2022-11-25,Retail
C00005,Amelia Brown,1956-04-01,A001,2025-07-25,Retail
C00006,Chris White,1978-09-22,A019,2024-08-09,Private
C00007,Taylor Walker,2003-02-20,A002,2021-12-25,Retail
C00008,Alex Moore,1966-02-01,A053,2025-08-28,Corporate
C00009,Harry White,1995-10-20,A044,2025-05-15,Corporate
C00010,Jack White,1988-01-25,A032,2024-11-03,Retail
C00011,Alex Williams,1978-07-09,A070,2023-08-10,Retail
C00012,George Jones,2007-06-11,A032,2024-11-25,Retail
C00013,Chris Williams,1989-03-08,A068,2023-09-08,Retail
C00014,Leo Jones,1988-04-29,A055,2024-07-17,Private
C00015,Rosie Walker,1964-09-20,A075,2022-01-09,Retail
C00016,Taylor King,1975-12-23,A056,2025-07-20,Retail
C00017,Chris Hall,1997-04-19,A017,2021-10-04,Retail
C00018,Charlie Young,1957-03-31,A038,2021-05-10,Retail
C00019,Sam Wright,2005-05-14,A024,2025-01-06,Private
C00020,Casey Moore,1984-06-05,A069,2025-05-09,Retail
C00021,Jack Young,2009-09-25,A070,2023-07-27,Retail
C00022,Chris Young,1974-11-10,A011,2021-03-17,Retail
C00023,Ella Clarke,1960-09-02,A016,2022-08-24,Corporate
C00024,Sam Brown,1996-08-26,A073,2022-02-17,
C00025,Morgan Clarke,1982-02-10,A059,2021-03-31,Retail
C00026,Olivia Clarke,1991-08-19,A070,2025-06-09,Private
C00027,Freya Robinson,1965-06-20,A080,2022-02-13,Retail
C00028,Rosie Jones,1967-07-17,A003,2025-12-20,Corporate
C00029,Charlie Brown,1959-01-25,A020,2021-03-27,Private
C00030,Jordan Lewis,1958-05-04,A059,2022-10-09,Private
C00031,Mia Walker,1982-04-22,A036,2022-09-28,Private
C00032,Ella Brown,1999-03-13,A019,2023-11-22,Corporate
C00033,Chris Thompson,1965-06-02,A067,2023-03-27,Corporate
C00034,Sam Wright,1963-09-20,A019,2025-07-28,
C00035,Amelia Taylor,1976-01-24,A020,2024-01-18,Private
C00036,Freya Wilson,2003-03-24,A071,2023-08-28,Retail
C00037,Riley Robinson,1967-03-04,A052,2022-06-03,Retail
C00038,Chris Williams,1989-11-13,A033,2021-03-16,Retail
C00039,Amelia Wright,1995-09-12,A040,2025-03-23,Retail
C00040,Morgan Jones,1988-04-14,A039,2024-08-17,
C00041,Noah Wright,2003-06-19,A001,2022-01-27,Retail
C00042,Evie Smith,1992-08-07,A011,2022-08-09,Retail
C00043,Taylor White,2007-09-10,A057,2023-01-02,Private
C00044,Jamie Clarke,1968-11-11,A050,2025-11-01,Corporate
C00045,Sophia Young,1992-03-21,A023,2025-05-19,Retail
C00046,Sam Lewis,1963-11-19,A031,2021-04-08,Retail
C00047,Leo Jones,1998-11-25,A042,2025-11-09,Private
C00048,Jamie Lewis,1991-08-13,A007,2024-09-04,Retail
C00049,Alex Lewis,1980-02-05,A016,2022-11-11,Private
C00050,Riley Robinson,1957-12-08,A060,2022-07-14,Retail
C00051,Cameron Clarke,1988-03-29,A002,2021-09-12,Retail
C00052,George Wright,1974-06-29,A001,2025-06-26,Corporate
C00053,Charlie Young,1994-10-11,A048,2023-01-24,Retail
